address,name,mode,confidence
0x08019568,Sio32MultiLoadMain,thumb,direct-call+sa2-relocation-masked-byte-match+exact-body
0x0801974C,Sio32MultiLoadIntr,thumb,rom-pointer+sa2-object-correlation+exact-body
0x08019814,Sio32MultiLoadInit,thumb,direct-call+sa2-object-correlation+exact-body
0x080198B0,FUN_080198b0,thumb,direct-call
0x08019B5C,FUN_08019b5c,thumb,direct-call
0x08019ED8,FUN_08019ed8,thumb,direct-call
0x0801A04C,FUN_0801a04c,thumb,direct-call
0x0801A228,FUN_0801a228,thumb,direct-call
0x0801A61C,FUN_0801a61c,thumb,direct-call
0x0801A6A8,FUN_0801a6a8,thumb,direct-call
0x0801A898,FUN_0801a898,thumb,rom-pointer
0x0801AADC,FUN_0801aadc,thumb,rom-pointer
0x0801AD38,FUN_0801ad38,thumb,rom-pointer
0x0801AFC4,FUN_0801afc4,thumb,rom-pointer
0x0801B394,FUN_0801b394,thumb,rom-pointer
0x0801BCAC,FUN_0801bcac,thumb,rom-pointer
0x0801BD90,FUN_0801bd90,thumb,rom-pointer
0x0801C090,FUN_0801c090,thumb,direct-call
0x0801C28C,FUN_0801c28c,thumb,rom-pointer
0x0801C4BC,FUN_0801c4bc,thumb,rom-pointer
0x0801C770,FUN_0801c770,thumb,rom-pointer
0x0801C82C,FUN_0801c82c,thumb,rom-pointer+exact-body
0x0801C85C,FUN_0801c85c,thumb,recursive-disassembly+exact-body
0x0801C8A4,FUN_0801c8a4,thumb,rom-pointer+exact-body
0x0801C8F0,FUN_0801c8f0,thumb,rom-pointer+exact-body
0x0801C910,FUN_0801c910,thumb,rom-pointer+exact-body
0x0801C930,FUN_0801c930,thumb,rom-pointer+exact-body
0x0801C968,FUN_0801c968,thumb,direct-call
0x0801CE70,FUN_0801ce70,thumb,direct-call+exact-body
0x0801CE8C,FUN_0801ce8c,thumb,recursive-disassembly
0x0801CEEC,FUN_0801ceec,thumb,recovered-unreferenced+exact-body
0x0801CF34,FUN_0801cf34,thumb,recovered-unreferenced+exact-body
0x0801CF80,FUN_0801cf80,thumb,recovered-unreferenced+exact-body
0x0801CFA4,FUN_0801cfa4,thumb,recovered-unreferenced+exact-body
0x0801CFC8,FUN_0801cfc8,thumb,direct-call
0x0801D068,FUN_0801d068,thumb,direct-call
0x0801D188,FUN_0801d188,thumb,direct-call+exact-body
0x0801D200,FUN_0801d200,thumb,direct-call+exact-body
0x0801D288,FUN_0801d288,thumb,direct-call+exact-body
0x0801D370,FUN_0801d370,thumb,recovered-unreferenced+exact-body
0x0801D3AC,FUN_0801d3ac,thumb,recovered-unreferenced+exact-body
0x0801D408,FUN_0801d408,thumb,direct-call
0x0801D5D4,FUN_0801d5d4,thumb,direct-call+exact-body
0x0801D618,FUN_0801d618,thumb,rom-pointer
0x0801D870,FUN_0801d870,thumb,direct-call+exact-body
0x0801D8F4,FUN_0801d8f4,thumb,rom-pointer+exact-body
0x0801D9E0,FUN_0801d9e0,thumb,direct-call+exact-body
0x0801DAEC,FUN_0801daec,thumb,rom-pointer+exact-body
0x0801DB4C,FUN_0801db4c,thumb,rom-pointer+direct-call+exact-body
0x0801DBD0,FUN_0801dbd0,thumb,rom-pointer
0x0801DE5C,FUN_0801de5c,thumb,direct-call+exact-body
0x0801DEBC,FUN_0801debc,thumb,direct-call+exact-body
0x0801DF1C,FUN_0801df1c,thumb,direct-call+exact-body
0x0801DF7C,FUN_0801df7c,thumb,direct-call+exact-body
0x0801DFDC,FUN_0801dfdc,thumb,rom-pointer+exact-body
0x0801E044,FUN_0801e044,thumb,rom-pointer+exact-body
0x0801E0C4,FUN_0801e0c4,thumb,direct-call+exact-body
0x0801E174,FUN_0801e174,thumb,rom-pointer+exact-body
0x0801E258,FUN_0801e258,thumb,rom-pointer+exact-body
0x0801E2C8,FUN_0801e2c8,thumb,direct-call+exact-body
0x0801E34C,FUN_0801e34c,thumb,recovered-unreferenced+exact-body
0x0801E3CC,FUN_0801e3cc,thumb,direct-call+exact-body
0x0801E41C,FUN_0801e41c,thumb,rom-pointer+exact-body
0x0801E4F4,FUN_0801e4f4,thumb,rom-pointer+exact-body
0x0801E62C,FUN_0801e62c,thumb,direct-call+exact-body
0x0801E6A0,FUN_0801e6a0,thumb,rom-pointer
0x0801E99C,FUN_0801e99c,thumb,direct-call+exact-body
0x0801E9EC,FUN_0801e9ec,thumb,direct-call+exact-body
0x0801EA38,FUN_0801ea38,thumb,recovered-unreferenced+exact-body
0x0801EA6C,FUN_0801ea6c,thumb,rom-pointer+exact-body
0x0801EACC,FUN_0801eacc,thumb,rom-pointer+exact-body
0x0801EAF8,FUN_0801eaf8,thumb,rom-pointer+exact-body
0x0801EB24,FUN_0801eb24,thumb,rom-pointer+exact-body
0x0801EB50,FUN_0801eb50,thumb,direct-call+exact-body
0x0801EB94,FUN_0801eb94,thumb,rom-pointer+exact-body
0x0801EBB0,FUN_0801ebb0,thumb,direct-call+exact-body
0x0801EBF4,FUN_0801ebf4,thumb,rom-pointer+exact-body
0x0801EC10,FUN_0801ec10,thumb,direct-call+exact-body
0x0801EC64,FUN_0801ec64,thumb,direct-call+exact-body
0x0801ECB8,FUN_0801ecb8,thumb,direct-call+exact-body
0x0801ED0C,FUN_0801ed0c,thumb,direct-call+exact-body
0x0801ED50,FUN_0801ed50,thumb,rom-pointer+exact-body
0x0801ED6C,FUN_0801ed6c,thumb,direct-call+exact-body
0x0801EDC0,FUN_0801edc0,thumb,rom-pointer+exact-body
0x0801EDDC,FUN_0801eddc,thumb,direct-call+exact-body
0x0801EE30,FUN_0801ee30,thumb,rom-pointer+exact-body
0x0801EE4C,FUN_0801ee4c,thumb,direct-call+exact-body
0x0801EEA8,FUN_0801eea8,thumb,rom-pointer+exact-body
0x0801EEE0,FUN_0801eee0,thumb,direct-call+exact-body
0x0801EF14,FUN_0801ef14,thumb,structured-entry+return+exact-body
0x0801EF4C,FUN_0801ef4c,thumb,structured-entry+return+exact-body
0x0801EF7C,FUN_0801ef7c,thumb,structured-entry+return+exact-body
0x0801EFD4,FUN_0801efd4,thumb,structured-entry+return+exact-body
0x0801F024,FUN_0801f024,thumb,direct-call+exact-body
